gender	forecast_date	playin_flag	rd1_win	rd2_win	rd3_win	rd4_win	rd5_win	rd6_win	rd7_win	team_alive	team_id	team_name	team_rating	team_region	team_seed
mens	2018-03-12	1	0.54200135414	0.21100809588	0.08527334943	0.026018024771	0.005773813826	0.002063807239	0.000842120785	1	26	UCLA	83.22	East	11b
mens	2018-03-12	0	1	0.293911987878	0.079883345274	0.025511618452	0.00865802907	0.002657090904	0.000768667205	1	142	Missouri	78.49	West	8
mens	2018-03-12	0	1	0.406830222433	0.047153201353	0.016884386399	0.006094529846	0.001955303249	0.000727581758	1	333	Alabama	82.2	East	9
mens	2018-03-12	0	1	0.401905842821	0.138500585104	0.036761023844	0.008437717848	0.002792488049	0.000713717078	1	2350	Loyola (IL)	81.28	South	11
mens	2018-03-12	0	1	0.242941356787	0.07812505065	0.018677027176	0.006951217225	0.002492699815	0.000690854077	1	2166	Davidson	81.9	South	12
mens	2018-03-12	0	1	0.368439336436	0.067729492208	0.034035043278	0.00776269123	0.00195010512	0.000621747829	1	152	North Carolina State	81.74	Midwest	9
mens	2018-03-12	0	1	0.403987426581	0.070934591786	0.025019765477	0.005472130476	0.001988422798	0.000558540146	1	2440	Nevada	81.82	South	7
mens	2018-03-12	1	0.58775842369	0.270801265337	0.059450272303	0.016116923045	0.005653627322	0.001558222163	0.000537152896	1	183	Syracuse	81.86	Midwest	11b
mens	2018-03-12	0	1	0.417306912377	0.076030278229	0.022828858225	0.006800922181	0.001731310395	0.000419719733	1	2507	Providence	81.27	West	10
mens	2018-03-12	0	1	0.380189942562	0.179900410584	0.032578078442	0.005894324253	0.001329050031	0.00038647395	1	166	New Mexico State	79.79	Midwest	12
mens	2018-03-12	1	0.41224157631	0.155660931742	0.027312726349	0.007500272008	0.002659011994	0.000816034232	0.000307666298	1	9	Arizona State	81.26	Midwest	11a
mens	2018-03-12	1	0.45799864586	0.130217471593	0.040753178323	0.012558070697	0.00281455177	0.000748634097	0.000236914415	1	179	St. Bonaventure	80.26	East	11a
mens	2018-03-12	0	1	0.234299133062	0.037311698739	0.009733180386	0.002317933621	0.00046650804	9.0516316E-05	1	2571	South Dakota State	78.07	West	12
mens	2018-03-12	0	1	0.151789061958	0.037861877965	0.005818218736	0.001494396622	0.000409143618	8.6536836E-05	1	2084	Buffalo	79.07	South	13
mens	2018-03-12	0	1	0.164051659906	0.040099355906	0.004677372798	0.001229665161	0.000286208736	8.0572252E-05	1	93	Murray State	78.93	East	12
mens	2018-03-12	0	1	0.0829910009	0.025230397868	0.00599356999	0.001304743559	0.000259280519	4.9704849E-05	1	2430	North Carolina-Greensboro	78.03	West	13
mens	2018-03-12	0	1	0.077242999526	0.026527344635	0.004351499193	0.000995202832	0.000175814323	4.1368788E-05	1	2083	Bucknell	78.25	Midwest	14
mens	2018-03-12	0	1	0.067367725041	0.022884168987	0.006812063483	0.001241942882	0.000237820926	3.5355941E-05	1	2247	Georgia State	75.99	South	15
mens	2018-03-12	0	1	0.106860925942	0.023256104769	0.004740783781	0.001077616549	0.000177637307	2.8499137E-05	1	149	Montana	76.79	West	14
mens	2018-03-12	0	1	0.201838963824	0.053027093135	0.006590801565	0.000825180626	0.000121993591	2.4512661E-05	1	232	College of Charleston	76.44	Midwest	13
mens	2018-03-12	0	1	0.045863755026	0.01026655054	0.002855816085	0.000315428513	3.9278771E-05	6.762241E-06	1	219	Pennsylvania	75.55	Midwest	16
mens	2018-03-12	0	1	0.090920587837	0.014706027184	0.00118956183	0.000226919409	3.4097589E-05	6.47709E-06	1	276	Marshall	75.58	East	13
mens	2018-03-12	0	1	0.106432566438	0.021509995121	0.002343907214	0.000188993643	3.1227818E-05	6.468439E-06	1	2617	Stephen F. Austin	74.78	East	14
mens	2018-03-12	0	1	0.09295512742	0.020065226415	0.002520033144	0.000275277296	4.4881976E-05	5.697667E-06	1	2750	Wright State	74.31	South	14
mens	2018-03-12	0	1	0.04193847637	0.010721553923	0.001135599126	0.000168384665	1.9149717E-05	3.035468E-06	1	314	Iona	74.79	Midwest	15
mens	2018-03-12	0	1	0.035229917216	0.006863486358	0.000735069712	8.4224613E-05	9.020078E-06	9.56169E-07	1	288	Lipscomb	72.45	West	15
mens	2018-03-12	0	1	0.021460514732	0.003350565839	0.000324074471	3.1534364E-05	3.323759E-06	2.74883E-07	1	2378	Maryland-Baltimore County	71.36	South	16
mens	2018-03-12	1	0.66502217494	0.011199506923	0.001736498325	0.00017533324	1.9426395E-05	1.680504E-06	1.90808E-07	1	2515	Radford	70.89	East	16b
mens	2018-03-12	0	1	0.022489471592	0.002119421074	0.00021948675	1.0492914E-05	9.75485E-07	1.18562E-07	1	2239	Cal State Fullerton	71.88	East	15
mens	2018-03-12	1	0.576082648421	0.0144534648	0.001292312938	8.1225722E-05	5.832744E-06	4.77179E-07	3.8955E-08	1	2640	Texas Southern	67.93	West	16b
mens	2018-03-12	1	0.33497782506	0.003492870013	0.000355517309	2.9659122E-05	2.733406E-06	1.53758E-07	1.1569E-08	1	2341	Long Island University	67.64	East	16a
mens	2018-03-12	1	0.423917351579	0.007727025439	0.00051258808	2.002561E-05	8.99857E-07	3.8994E-08	1.708E-09	1	2428	North Carolina Central	65.3	West	16a
